ID,@dDevdCasZpravy,ID_iot_device,Created,Creator_DB,Changed,Changer_DB,actualStateSwitch1,actualStateSwitch2,@iDevdAverageCurrent,countSetSwitch1,countSetSwitch2,currentLimit,detectRain,disableCurrentLimit,disableTemperature,numberOfCycleDown,numberOfCycleUp,numberOfImpulseDown,numberOfImpulseUp,temperature,temperatureError,unitDataFrameError,unitVersionFrameError,unitVersionMajor,unitVersionMinor
659,2021-04-16 13:42:06.000,5,16.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
660,2021-04-16 15:06:00.000,4,16.04.2021 15:59,sigfox_datafetch,16.04.2021 15:59,sigfox_datafetch,NULL,NULL,101,NULL,NULL,1320,0,0,0,5283,5308,557,365,19.000000,0,0,0,1,4
661,2021-04-18 12:55:15.000,3,17.04.2021 12:59,sigfox_datafetch,18.04.2021 12:59,sigfox_datafetch,NULL,NULL,87,NULL,NULL,807,0,0,0,12,12,22,30,17.900000,0,0,0,1,5
662,2021-04-17 13:41:48.000,5,17.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
663,2021-04-17 15:05:44.000,4,17.04.2021 15:59,sigfox_datafetch,17.04.2021 15:59,sigfox_datafetch,NULL,NULL,115,NULL,NULL,1320,0,0,0,5283,5308,564,389,14.700000,0,0,0,1,4
664,2021-04-19 12:54:56.000,3,18.04.2021 12:59,sigfox_datafetch,19.04.2021 12:59,sigfox_datafetch,NULL,NULL,89,NULL,NULL,807,0,0,0,12,12,22,30,17.600000,0,0,0,1,5
665,2021-04-18 13:41:29.000,5,18.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
666,2021-04-18 15:05:23.000,4,18.04.2021 15:59,sigfox_datafetch,18.04.2021 15:59,sigfox_datafetch,NULL,NULL,118,NULL,NULL,1320,0,0,0,5283,5308,571,461,16.600000,0,0,0,1,4
667,2021-04-20 12:54:39.000,3,19.04.2021 12:59,sigfox_datafetch,20.04.2021 12:59,sigfox_datafetch,NULL,NULL,89,NULL,NULL,807,0,0,0,12,12,22,30,18.800000,0,0,0,1,5
668,2021-04-19 13:41:11.000,5,19.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
669,2021-04-19 15:05:05.000,4,2021-04-19 15:59:41.010,sigfox_datafetch,2021-04-19 15:59:41.010,sigfox_datafetch,NULL,NULL,115,NULL,NULL,1320,0,0,0,5283,5308,576,507,20.100000,0,0,0,1,4
670,2021-04-21 12:54:20.000,3,20.04.2021 12:59,sigfox_datafetch,21.04.2021 12:59,sigfox_datafetch,NULL,NULL,92,NULL,NULL,808,0,0,0,12,12,22,30,18.600000,0,0,0,1,5
671,2021-04-20 13:40:52.000,5,20.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
672,2021-04-20 15:04:52.000,4,20.04.2021 15:59,sigfox_datafetch,20.04.2021 15:59,sigfox_datafetch,NULL,NULL,103,NULL,NULL,1321,0,0,0,5283,5308,584,510,20.800000,0,0,0,1,4
673,2021-04-22 12:54:01.000,3,21.04.2021 12:59,sigfox_datafetch,22.04.2021 12:59,sigfox_datafetch,NULL,NULL,83,NULL,NULL,807,0,0,0,12,12,22,30,18.900000,0,0,0,1,5
674,2021-04-21 13:40:34.000,5,21.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
675,2021-04-21 15:04:28.000,4,21.04.2021 15:59,sigfox_datafetch,21.04.2021 15:59,sigfox_datafetch,NULL,NULL,105,NULL,NULL,1320,0,0,0,5283,5308,592,516,20.500000,0,0,0,1,4
676,2021-04-23 12:53:43.000,3,22.04.2021 12:59,sigfox_datafetch,23.04.2021 12:59,sigfox_datafetch,NULL,NULL,88,NULL,NULL,807,0,0,0,12,12,22,30,18.300000,0,0,0,1,5
677,2021-04-22 13:40:16.000,5,22.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
678,2021-04-22 15:04:10.000,4,22.04.2021 15:59,sigfox_datafetch,22.04.2021 15:59,sigfox_datafetch,NULL,NULL,101,NULL,NULL,1320,0,0,0,5283,5308,598,517,21.500000,0,0,0,1,4
679,2021-04-28 11:23:32.000,3,23.04.2021 12:59,sigfox_datafetch,28.04.2021 11:59,sigfox_datafetch,NULL,NULL,0,NULL,NULL,807,0,0,0,12,12,22,30,17.900000,0,0,0,1,5
680,2021-04-23 13:39:57.000,5,23.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
681,2021-04-23 15:03:53.000,4,23.04.2021 15:59,sigfox_datafetch,23.04.2021 15:59,sigfox_datafetch,NULL,NULL,107,NULL,NULL,1320,0,0,0,5283,5308,604,521,20.800000,0,0,0,1,4
682,2021-04-24 13:39:39.000,5,24.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
683,2021-04-24 15:03:33.000,4,24.04.2021 15:59,sigfox_datafetch,24.04.2021 15:59,sigfox_datafetch,NULL,NULL,112,NULL,NULL,1320,0,0,0,5283,5308,609,607,20.800000,0,0,0,1,4
684,2021-04-25 13:39:21.000,5,2021-04-25 13:59:47.020,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
685,2021-04-25 15:03:14.000,4,25.04.2021 15:59,sigfox_datafetch,25.04.2021 15:59,sigfox_datafetch,NULL,NULL,122,NULL,NULL,1320,0,0,0,5283,5308,615,842,18.700000,0,0,0,1,4
686,2021-04-26 13:39:03.000,5,26.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
687,2021-04-26 15:03:01.000,4,26.04.2021 15:59,sigfox_datafetch,26.04.2021 15:59,sigfox_datafetch,NULL,NULL,115,NULL,NULL,1320,0,0,0,5283,5308,618,974,19.000000,0,0,0,1,4
688,2021-04-27 13:38:44.000,5,27.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
689,2021-04-28 15:02:19.000,4,27.04.2021 15:59,sigfox_datafetch,28.04.2021 15:59,sigfox_datafetch,NULL,NULL,104,NULL,NULL,1320,0,0,0,5283,5308,621,989,18.900000,0,0,0,1,4
690,2021-04-28 11:34:21.000,3,28.04.2021 11:59,sigfox_datafetch,28.04.2021 11:59,sigfox_datafetch,NULL,NULL,0,NULL,NULL,807,0,0,0,12,12,42,50,17.100000,0,0,0,1,5
691,2021-04-28 11:37:13.000,3,28.04.2021 11:59,sigfox_datafetch,28.04.2021 11:59,sigfox_datafetch,NULL,NULL,0,NULL,NULL,807,0,0,0,12,12,49,56,17.300000,0,0,0,1,5
692,2021-11-02 07:46:00.000,3,28.04.2021 11:59,sigfox_datafetch,02.11.2021 7:59,sigfox_datafetch,NULL,NULL,0,NULL,NULL,808,0,0,0,12,12,0,1,17.500000,0,0,0,1,5
