@ID,@dDevdCasZpravy,ID_iot_device,@iDevdAverageCurrent
1340,51:54.0,5,NULL
1341,46:48.0,3,0
1342,51:52.0,5,NULL
1343,51:51.0,5,NULL
1344,45:44.0,3,87
1345,51:50.0,5,NULL
1346,45:53.0,3,0
1347,51:48.0,5,NULL
1348,45:11.0,3,89
1349,51:47.0,5,NULL
1350,44:50.0,3,90
1351,51:46.0,5,NULL
1352,44:31.0,3,88
1353,51:45.0,5,NULL
1354,44:13.0,3,84
1355,51:45.0,5,NULL
1356,43:56.0,3,89
1357,51:42.0,5,NULL
1358,44:08.0,3,85
1359,51:41.0,5,NULL
1360,51:41.0,5,NULL
1361,51:39.0,5,NULL
1362,43:19.0,3,91
1363,51:38.0,5,NULL
1364,51:37.0,5,NULL
1365,42:59.0,3,85
1366,51:34.0,5,NULL
1367,51:33.0,5,NULL
1368,46:51.0,3,0
1369,51:31.0,5,NULL
1370,46:11.0,3,85
1371,51:30.0,5,NULL
1372,46:15.0,3,0
1373,51:30.0,5,NULL
1374,45:30.0,3,83
1375,51:28.0,5,NULL
1376,45:41.0,3,0
1377,51:27.0,5,NULL
1378,51:25.0,5,NULL
1379,51:25.0,5,NULL
1380,52:45.0,3,0
1381,52:25.0,3,88
1382,51:23.0,5,NULL
1383,51:22.0,5,NULL
1384,52:07.0,3,91
1385,51:21.0,5,NULL
1386,51:51.0,3,85
1387,51:20.0,5,NULL
1388,51:36.0,3,83
1389,51:18.0,5,NULL
1390,51:12.0,3,85
1391,51:17.0,5,NULL
1392,50:56.0,3,88
1393,51:16.0,5,NULL
1394,50:35.0,3,84
1395,51:15.0,5,NULL
1396,50:17.0,3,88
1397,51:13.0,5,NULL
1398,49:59.0,3,87
1399,51:12.0,5,NULL
1400,49:46.0,3,81
1401,51:13.0,5,NULL
1402,49:23.0,3,90
1403,51:10.0,5,NULL
1404,49:04.0,3,85
1405,51:08.0,5,NULL
1406,48:47.0,3,85
1407,51:07.0,5,NULL
1408,48:33.0,3,225
1409,51:06.0,5,NULL
1410,48:10.0,3,82
1411,51:04.0,5,NULL
1412,47:55.0,3,90
1413,51:03.0,5,NULL
1414,47:37.0,3,88
1415,51:02.0,5,NULL
1416,47:21.0,3,107
1417,51:01.0,5,NULL
1418,51:00.0,5,NULL
1419,46:42.0,3,82
1420,50:59.0,5,NULL
1421,46:21.0,3,96
1422,51:01.0,5,NULL
1423,50:56.0,5,NULL
1424,45:54.0,3,0
1425,50:55.0,5,NULL
1426,45:12.0,3,87
1427,50:58.0,5,NULL
1428,44:51.0,3,85
1429,50:54.0,5,NULL
1430,44:35.0,3,88
1431,50:53.0,5,NULL
1432,44:15.0,3,148
1433,50:50.0,5,NULL
1434,43:56.0,3,87
1435,50:48.0,5,NULL
1436,43:40.0,3,81
1437,50:47.0,5,NULL
1438,43:20.0,3,93
1439,50:46.0,5,NULL
1440,43:02.0,3,88
1441,50:45.0,5,NULL
1442,42:43.0,3,85
1443,50:46.0,5,NULL
1444,42:25.0,3,82
1445,50:42.0,5,NULL
1446,42:07.0,3,86
1447,50:41.0,5,NULL
1448,41:50.0,3,82
1449,50:40.0,5,NULL
1450,41:32.0,3,120
1451,50:40.0,5,NULL
1452,41:14.0,3,87
1453,50:37.0,5,NULL
1454,40:55.0,3,90
1455,50:39.0,5,NULL
1456,40:43.0,3,91
1457,50:35.0,5,NULL
1458,40:26.0,3,93
1459,50:33.0,5,NULL
1460,40:01.0,3,87
1461,50:33.0,5,NULL
1462,39:43.0,3,84
1463,50:31.0,5,NULL
1464,39:26.0,3,90
1465,50:30.0,5,NULL
1466,39:10.0,3,86
1467,50:29.0,5,NULL
1468,38:50.0,3,90
1469,50:29.0,5,NULL
1470,38:31.0,3,90
1471,50:26.0,5,NULL
1472,38:13.0,3,92
1473,50:25.0,5,NULL
1474,37:55.0,3,87
1475,50:24.0,5,NULL
1476,37:37.0,3,84
1477,50:22.0,5,NULL
1478,37:23.0,3,86
1479,50:21.0,5,NULL
1480,37:00.0,3,131
1481,50:19.0,5,NULL
1482,36:42.0,3,90
1483,50:19.0,5,NULL
1484,36:24.0,3,232
1485,50:17.0,5,NULL
